id,sector,EAD,PD0,LGD0,rho,M,alpha_rwa,K0_proxy,RW0_exact_proxy
201,Consumer,0.18727632396730098,0.00556058945989303,0.38371106033479124,0.19094195638334505,2.184185927231544,4.829302567396034,0.03277512182276463,0.4096890227845579
202,Consumer,0.49053752307111537,0.003959815704424318,0.41298320542553335,0.19728747321457493,2.3292563225708816,12.610901881015646,0.029380951741177757,0.367261896764722
203,Consumer,0.14994889210586226,0.003253590701275322,0.4447079348316105,0.20363568135180718,2.436320009444019,3.7916474683560457,0.02889858892286873,0.36123236153585914
204,Consumer,0.24673453818390922,0.0041504800920829955,0.4264161152686116,0.17896777286965887,2.641916633020227,6.199641352237889,0.028716305608079862,0.3589538201009983
205,Consumer,0.0218371622669885,0.005472612201846226,0.40723027328580425,0.204589747786282,2.8323424819803487,0.6845519020107872,0.039212704559716365,0.49015880699645453
206,Consumer,0.13228008607220698,0.003298516901507083,0.4064025638396422,0.2212505612411434,2.2822609105891,3.36900767844315,0.029107136258949635,0.3638392032368704
207,Consumer,0.06470644804908787,0.003352877481036124,0.40506820274555516,0.19768710363471578,2.2175375215538566,1.4433907081295465,0.025493431187384345,0.3186678898423043
208,Consumer,0.046147202711865516,0.004840896290215067,0.399217162996937,0.20481956518645683,2.5750622694137224,1.4022134472450545,0.03472647440843257,0.43408093010540716
209,Consumer,0.06270435922216686,0.003983172525637185,0.5098571507046622,0.21247070354965572,2.6443379665643416,2.2367987428222786,0.04076816113072752,0.509602014134094
210,Consumer,0.10231507306592018,0.004949733913917699,0.44041288749149443,0.20058195161813175,2.2263198266964457,3.3042152210917304,0.03690801221955826,0.4613501527444782
211,Consumer,0.31515998180750004,0.004195661225327749,0.46103656690416583,0.1964118847330869,2.716157390786469,9.658859128829784,0.03502569102817274,0.43782113785215926
212,Consumer,0.04188863941847012,0.005017232865518571,0.41288228861583764,0.17946412258118422,2.791834136462389,1.1756847451621182,0.03218702445235048,0.402337805654381
213,Consumer,0.1420723512756007,0.0032501239015997976,0.4234915162984883,0.20863139381235146,2.9166745862634693,3.655340479886293,0.029404257334413177,0.3675532166801647
214,Consumer,0.0893906070882077,0.0041973000989388,0.40502561065203757,0.20108980252111275,3.111328362687929,2.551392851977446,0.03261950712830252,0.4077438391037815
215,Consumer,0.10291077139141491,0.003993987655003929,0.3371902082778279,0.1920946481045201,2.053433544536224,2.059308190244681,0.02286927833447068,0.2858659791808835
216,Consumer,0.3407844422732809,0.0031064789570958264,0.3817696753103247,0.20348745372117866,2.4055592837330044,7.137618957049545,0.023936769981756274,0.2992096247719534
217,Consumer,0.22431963884278797,0.002847932124930033,0.3666283462006862,0.1963846830503399,2.404511078647464,4.066387091359688,0.02071731016043366,0.25896637700542074
218,Consumer,0.4605522888455351,0.00499731069389045,0.3512575677716937,0.19693722530724647,2.360770572586997,11.818655628345129,0.0293279076685973,0.3665988458574662
219,Consumer,0.12026684582650887,0.003856363157409587,0.3881624358995664,0.2082843981794888,2.1402948321559454,2.9952974443980063,0.028463347947531158,0.3557918493441395
220,Consumer,0.07387834471481373,0.0032605391895913945,0.4763734487783571,0.1888376625051633,1.8057751987075714,1.739724104545423,0.026912569943947435,0.33640712429934294
221,Consumer,0.11298953065394049,0.004109978977220105,0.4284447341303476,0.2126946394791393,2.4370717784116014,3.4079496022613003,0.03447044626966645,0.43088057837083066
222,Consumer,0.17191758631898688,0.005581554724414141,0.4751697316812411,0.1882446249872177,2.092657736180835,5.355355441313148,0.03974157964458465,0.49676974555730813
223,Consumer,0.16201422226542023,0.0023804229604083016,0.44438439019153064,0.19559447253484907,2.43439739229905,3.124587507928651,0.02204101036307991,0.27551262953849887
224,Consumer,0.052081970620639635,0.0028959203631076717,0.4573895589000306,0.2214509485590675,2.0823825833204586,1.3429693639759008,0.029469355939652865,0.3683669492456608
225,Consumer,0.1499360551188895,0.003342573559964039,0.39846860516433985,0.21349503423482594,1.9601366616622633,3.523716621291944,0.026858814625039355,0.3357351828129919
226,Consumer,0.16972400159048653,0.006066351565872445,0.4483382833967435,0.20319752654335613,2.493719344150759,5.468204558573048,0.04467360585495725,0.5584200731869656
227,Consumer,1.332077102670664,0.004518180612369171,0.4555049981926021,0.19281618446338955,2.460368610722598,40.70927246191127,0.034926568980380907,0.43658211225476135
228,Consumer,0.7483930071971081,0.005100262238946369,0.40981734477182075,0.1969287635514028,2.631712788528373,22.75978060154637,0.035452984408673165,0.44316230510841453
